COMARCA;POBLACIO;CODI_CENTRE;CENTRE;NATURALESA;ESTUDIS
Bages;Manresa;8020218;La Salle;Privat;EDUCACIÓ PRIMÀRIA
Baix Llobregat;Abrera;8000013;Escola Francesc Platón i Sartí;Públic;EDUCACIÓ INFANTIL
Baix Llobregat;Abrera;8000013;Escola Francesc Platón i Sartí;Públic;EDUCACIÓ PRIMÀRIA
Maresme;Alella;8000049;Escola Fabra;Públic;EDUCACIÓ INFANTIL
Maresme;Alella;8000049;Escola Fabra;Públic;EDUCACIÓ PRIMÀRIA
Osona;Alpens;8000086;Escola La Forja - ZER Alt Lluçanès;Públic;EDUCACIÓ INFANTIL
Osona;Alpens;8000086;Escola La Forja - ZER Alt Lluçanès;Públic;EDUCACIÓ PRIMÀRIA
Vallès Oriental;L'Ametlla del Vallès;8000098;Escola Bertí;Públic;EDUCACIÓ INFANTIL
Vallès Oriental;L'Ametlla del Vallès;8000098;Escola Bertí;Públic;EDUCACIÓ PRIMÀRIA
Maresme;Arenys de Mar;8000131;La Presentació;Privat;BATXILLERAT
Maresme;Arenys de Mar;8000131;La Presentació;Privat;EDUCACIÓ INFANTIL
Maresme;Arenys de Mar;8000131;La Presentació;Privat;EDUCACIÓ PRIMÀRIA
Maresme;Arenys de Mar;8000131;La Presentació;Privat;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Maresme;Arenys de Mar;8000153;Escola Joan Maragall;Públic;EDUCACIÓ INFANTIL
Maresme;Arenys de Mar;8000153;Escola Joan Maragall;Públic;EDUCACIÓ PRIMÀRIA
Maresme;Arenys de Munt;8000165;Escola Sant Martí;Públic;EDUCACIÓ INFANTIL
Maresme;Arenys de Munt;8000165;Escola Sant Martí;Públic;EDUCACIÓ PRIMÀRIA
Maresme;Argentona;8000189;Escola Bernat de Riudemeia;Públic;EDUCACIÓ INFANTIL
Maresme;Argentona;8000189;Escola Bernat de Riudemeia;Públic;EDUCACIÓ PRIMÀRIA
Bages;Artés;8000220;Vedruna Artés;Privat;EDUCACIÓ INFANTIL
Bages;Artés;8000220;Vedruna Artés;Privat;EDUCACIÓ PRIMÀRIA
Bages;Artés;8000220;Vedruna Artés;Privat;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Bages;Artés;8000244;Escola Doctor Ferrer;Públic;EDUCACIÓ INFANTIL
