_id,ANY,ORGÀNICA,PROGRAMA,ECONÒMICA,DESCRIPCIÓ PARTIDA,CRÈDITS INICIALS,MODIFICACIONS CRÈDIT,CRÈDITS TOTALS CONSIGNATS,DISPOSICIONS O COMPROMISOS,OBLIGACIONS RECONEGUDES,PAGAMENTS REALITZATS
1,2020,10101,91200,233,Alcaldia-Òrgans de govern-Altres indemnitzacions,254480.00,0,254480.00,0,0,0
2,2020,10101,91200,23100,Alcaldia-Òrgans de govern-Locomoció organs govern,3000.00,0,3000.00,0,0,0
3,2020,10101,91200,22602,Alcaldia-Òrgans de govern-Publicitat,10000.00,0,10000.00,0,0,0
4,2020,10101,91200,22699,Alcaldia-Òrgans de govern-Despeses diverses,31000.00,0,31000.00,0,0,0
5,2020,10101,91200,22799,Alcaldia-Organs de govern-Treballs realizats emp.,0.00,0,0.00,0,0,0
6,2020,10101,91200,22601,Alcaldia-Organs de govern-Atencions protocolaries i represen,20000.00,0,20000.00,0,0,0
7,2020,10101,91200,23000,Alcaldia-Òrgans de govern-Dietes organs govern,3000.00,0,3000.00,0,0,0
8,2020,10101,91220,489,Alcaldia-Grups municipals-A famílies i institucion,182790.00,0,182790.00,0,0,0
9,2020,10101,92000,22799,Alcaldia-PG-Treballs realizats per altres emp.,17000.00,0,17000.00,0,0,0
10,2020,10101,92000,489,Alcaldia-PG-A famílies i institucions sense ànim l,26000.00,0,26000.00,0,0,0
11,2020,10101,92000,22699,Alcaldia-PG-Despeses diverses,0.00,0,0.00,0,0,0
12,2020,10101,92010,489,Alcaldia-Aport.assoc.municipalistes i altres-A fam,48000.00,0,48000.00,0,0,0
13,2020,10101,92010,467,Alcaldia-Aportacions a consorcis-A Consorcis,12535.00,0,12535.00,0,0,0
14,2020,10102,49170,22695,Comunicació-Comunicació PG-Diversos,0.00,0,0.00,0,0,0
15,2020,10102,49170,22799,Comunicació-ComuncicacioPG-Treballs realitzats emp,39000.00,0,39000.00,0,0,0
16,2020,10102,49170,22001,"Comunicació-Comunicació PG-Premsa, llibres i altre",8000.00,0,8000.00,0,0,0
17,2020,10102,49170,22602,Comunicació-Comunicació PG-Publicitat,250000.00,0,250000.00,0,0,0
18,2020,10102,49170,22699,Comunicacio-Comunicació PG-Despeses diverses,0.00,0,0.00,0,0,0
19,2020,10203,13200,22799,Guàrdia urbana-PG-Treballs realitzats per empreses,11500.00,0,11500.00,0,0,0
20,2020,10203,13200,22699,Guàrdia urbana-PG-Despeses diverses,13382.00,0,13382.00,0,0,0
21,2020,10203,13200,22601,Guàrdia Urbana-PG-Atencions protocolàries,0.00,0,0.00,0,0,0
22,2020,10203,13200,22199,Guàrdia urbana-PG-Altres subministraments,20000.00,0,20000.00,0,0,0
23,2020,10203,13200,22104,Guàrdia urbana-PG-Vestuari,75000.00,0,75000.00,0,0,0
