_id,ANY,ORGÀNICA,PROGRAMA,ECONÒMICA,DESCRIPCIÓ PARTIDA,CRÈDITS INICIALS,MODIFICACIONS CRÈDIT,CRÈDITS TOTALS CONSIGNATS,DISPOSICIONS O COMPROMISOS,OBLIGACIONS RECONEGUDES,PAGAMENTS REALITZATS
1,2021,10101,91200,22799,Alcaldia-Organs de govern-Treballs realizats emp.,0.00,0.00,0.00,48.40,48.40,48.40
2,2021,10101,91200,22601,Alcaldia-Organs de govern-Atencions protocolaries i represen,20000.00,0.00,20000.00,2788.55,2788.55,2788.55
3,2021,10101,91200,22602,Alcaldia-Òrgans de govern-Publicitat,10000.00,0.00,10000.00,9000.00,382.72,382.72
4,2021,10101,91200,233,Alcaldia-Òrgans de govern-Altres indemnitzacions,220000.00,0.00,220000.00,73560.00,73560.00,73560.00
5,2021,10101,91200,23000,Alcaldia-Òrgans de govern-Dietes organs govern,3000.00,0.00,3000.00,0.00,0.00,0.00
6,2021,10101,91200,23100,Alcaldia-Òrgans de govern-Despeses Locomoció,3000.00,0.00,3000.00,0.00,0.00,0.00
7,2021,10101,91200,22699,Alcaldia-Òrgans de govern-Despeses diverses,21000.00,0.00,21000.00,6.68,6.68,6.68
8,2021,10101,91220,489,Alcaldia-Grups municipals-A famílies i institucion,182790.00,0.00,182790.00,187800.00,62600.00,62600.00
9,2021,10101,92000,22699,Alcaldia-Adm Gral PG-D'altres despeses diverses,0.00,0.00,0.00,0.00,0.00,0.00
10,2021,10101,92000,470,Alcaldia-PG-Subv.a  empreses privades,0.00,0.00,0.00,10000.00,0.00,0.00
11,2021,10101,92000,489,Alcaldia-PG-A famílies i institucions sense ànim l,25000.00,-15000.00,10000.00,750.00,750.00,750.00
12,2021,10101,92000,22799,Alcaldia-PG-Treballs realizats per altres emp.,17000.00,0.00,17000.00,0.00,0.00,0.00
13,2021,10101,92000,789,Alcaldia-PG-A famílies i institucions sense finalitats lucre,0.00,15000.00,15000.00,15000.00,10000.00,10000.00
14,2021,10101,92010,489,Alcaldia-Aport.assoc.municipalistes i altres-A fam,48000.00,0.00,48000.00,31232.64,31232.64,31232.64
15,2021,10101,92010,467,Alcaldia-Aportacions a consorcis-A Consorcis,12535.00,0.00,12535.00,0.00,0.00,0.00
16,2021,10101,92520,22699,Alcaldia-Síndic de greuges-Despeses diverses,3000.00,0.00,3000.00,0.00,0.00,0.00
17,2021,10101,92520,489,Alcaldia-Síndic de greuges-Aportació Associ.Forum Síndics,1000.00,0.00,1000.00,1366.00,1366.00,1366.00
18,2021,10102,49160,22100,Comunicació-Televisió Local-Subministrament elèctric,4000.00,0.00,4000.00,2000.00,13.33,13.33
